DNA01| Acid Ball| Attack| Acid| Water| 1| 5| 0;
DNC01| Acolyte of the Bog Queen| Creature| Dark Elf, Cleric| Dark| 1| 5| 0;
MW1C01| Adramelech, Lord of Fire| Creature| Demon| Dark, Fire| 4 & 2| 24| 0;
MWSTX2FFQ01| Adramelech's Torment| Equipment| None| Dark| 1| 3| 0;
MWSTX2FFE01| Adramelech's Touch| Enchantment| Curse, Flame| Dark, Fire| 1 & 1| 2| 1;
MW1E09| Agony| Enchantment| Curse| Dark| 1| 2| 3;
MWSTX1CKI02| Akiro's Battle Cry| Incantation| Command| War| 4| 14| 0;
MWSTX2FFE02| Akiro's Favor| Enchantment| None| War| 1| 2| 1;
FWJ01| Akiro's Hammer| Conjuration| War Machine| War| 3| 12| 0;
MXSTX2FFJ02| Altar of Carnage| Conjuration| Altar, Artifact| War| 2| 8| 0;
MWSTX2FFJ03| Altar of Domination| Conjuration| Altar, Artifact| War| 2| 9| 0;
DNJ01| Altar of Skulls| Conjuration| Skeleton, Altar| Dark| 2| 9| 0;
MWBG1J01| Altar of the Iron Guard| Conjuration| Statue, Artifact| War| 1| 4| 0;
MW1J02| Animal Kinship| Conjuration| Totem| Nature| 2| 8| 0;
DNI01| Animate Dead| Incantation| Necro| Dark| 3| X| 0;
MWSTX2FFC05| Anvil Throne Crossbowman| Creature| Dwarf, Soldier| War| 3| 11| 0;
FWA01| Arc Lightning| Attack| Lightning| Air| 1| 5| 0;
MWSTX2FFE03| Arcane Corruption| Enchantment| Curse| Dark| 2| 2| 5;
MW1Q01| Arcane Ring| Equipment| Mana| Arcane| 1| 2| 0;
FWJ02| Archer's Watchtower| Conjuration| Outpost| War| 1| 4| 0;
MWSTX1CKE01| Armor Ward| Enchantment| Protection, Metamagic| Holy, War| 1 & 1| 2| 4;
MWSTX2FFJ04| Armory| Conjuration| Outpost| War| 3| 10| 0;
MWBG1E01| Astral Anchor| Enchantment| Force| Mind| 1| 2| 4;
MW1C02| Asyran Cleric| Creature| Cleric| Holy| 1| 5| 0;
MWSTX2FFC01| Asyran Defender| Creature| Knight, Soldier| Holy| 2| 8| 0;
MW1I01| Banish| Incantation| Teleport| Arcane| 3| 14| 0;
DNE01| Barkskin| Enchantment| Plant, Healing, Protection| Nature| 2| 2| 2;
FWJ03| Barracks| Conjuration| Outpost| War| 3| 12| 0;
MW1J04| Battle Forge| Conjuration| Structure| War, Fire| 1 & 1| 8| 0;
MW1I02| Battle Fury| Incantation| Command| War| 1| 5| 0;
MW1E01| Bear Strength| Enchantment| None| Nature| 1| 2| 3;
MW1Q02| Bearskin| Equipment| None| Nature| 1| 6| 0;
MW1C04| Bitterwood Fox| Creature| Animal, Canine| Nature| 1| 5| 0;
MW1A01| Blinding Flash| Attack| Light| Holy| 2| 7| 0;
MW1E02| Block| Enchantment| Force, Defense| Mind| 1| 2| 2;
MWSTX2FFC02| Blood Demon| Creature| Vampire, Demon| Dark| 3| 12| 0;
MWSTX2FFC03| Bloodcrag Minotaur| Creature| Minotaur, Soldier| War| 4| 15| 0;
MWSTX2FFQ02| Bloodfire Helmet| Equipment| None| Dark| 1| 5| 0;
DNW01| Bloodspine Wall| Conjuration| Plant, Vine| Nature| 1| 4| 0;
MW1C05| Blue Gremlin| Creature| Gremlin| Arcane| 2| 7| 0;
MWBG1A01| Bolt of V'Tar| Attack| V'Tar, Lightning| Air| 2| 8| 0;
MWSTX2FFE04| Brace Yourself| Enchantment| Command| War| 1| 2| 0;
MWSTX1CKC01| Bridge Troll| Creature| Soldier, Troll| Nature, War| 2 & 1| 13| 0;
MW1C06| Brogan Bloodstone| Creature| Knight, Soldier| Holy| 4| 15| 0;
MW1E03| Bull Endurance| Enchantment| None| Nature| 1| 2| 3;
DNI02| Burst of Thorns| Incantation| None| Nature| 1| 5| 0;
MW1I03| Call of the Wild| Incantation| None| Nature| 1| 4| 0;
MWBG1I01| Cascading Force Wave| Incantation| Force| Mind| 2| 3| 0;
MWSTX2FFC04| Cerberus| Creature| Demon, Canine| Dark| 4| 17| 0;
MW1C07| Cervere, The Forest Shadow| Creature| Animal, Cat| Nature| 4| 15| 0;
MW1A02| Chain Lightning| Attack| Lightning| Air| 3| 12| 0;
MW1E04| Chains of Agony| Enchantment| Curse| Dark| 1| 2| 1;
MW1I04| Charge| Incantation| Command| War| 1| 4| 0;
FWE01| Charm| Enchantment| Psychic, Control| Mind| 2| 2| X;
MW1E05| Cheetah Speed| Enchantment| None| Nature| 1| 2| 3;
FWE02| Circle of Fire| Enchantment| Flame, Barrier| Fire| 2| 2| 4;
MW1E06| Circle of Lightning| Enchantment| Lightning, Barrier| Air| 2| 2| 4;
DNQ01| Cloak of Shadows| Equipment| Shadow| Dark| 2| 6| 0;
MW1E07| Cobra Reflexes| Enchantment| Defense| Nature| 2| 2| 5;
MWSTX1CKQ03| Colossus Belt| Equipment| None| War| 1| 5| 0;
MWSTX2FFI01| Combustion| Incantation| Flame| Fire| 1| 5| 0;
MWSTX2FFI02| Conquer| Incantation| None| War| 4| X| 0;
MWSTX2FFJ05| Construction Yard| Conjuration| Outpost| War| 2| 7| 0;
DNJ02| Corrosive Orchid| Conjuration| Plant, Flower, Vine| Nature| 2| 7| 0;
MW1Q03| Crown of Protection| Equipment| Protection| Holy| 1| 1| 0;
FWQ01| Dancing Scimitar| Equipment| Force| Mind| 2| 5| 0;
MW1C03| Dark Pact Slayer| Creature| Demon| Dark| 3| 13| 0;
MW1C08| Darkfenne Bat| Creature| Animal, Bat| Dark| 1| 5| 0;
MW1C09| Darkfenne Hydra| Creature| Serpent| Arcane| 4| 16| 0;
MW1Q27| Dawnbreaker Ring| Equipment| None| Holy| 1| 3| 0;
MW1E08| Death Link| Enchantment| Curse| Dark| 2| 2| 6;
DNQ02| Death Ring| Equipment| Necro, Mana| Dark| 1| 5| 0;
DNC02| Deathfang| Creature| Undead, Skeleton, Canine| Dark| 2| 8| 0;
MW1J19| Deathlock| Conjuration| Artifact| Dark| 2| 9| 0;
DNQ03| Deathshroud Staff| Equipment| Necro| Dark| 3| 8| 0;
MW1E10| Decoy| Enchantment| Illusion| Mind| 1| 2| 0;
MWSTX2FFI06| Defend| Incantation| Command| War| 1| X| 0;
FWQ02| Defense Ring| Equipment| None| War| 1| 3| 0;
MW1Q04| Deflection Bracers| Equipment| Defense| War| 1| 6| 0;
MW1Q05| Demonhide Armor| Equipment| None| Dark| 2| 8| 0;
FWI01| Destroy Magic| Incantation| Metamagic| Arcane| 4| 16| 0;
MWSTX2FFA01| Devil's Trident| Attack| Flame| Dark, Fire| 1 & 1| 7| 0;
DNC03| Devouring Jelly| Creature| Ooze| Arcane| 3| 13| 0;
MWSTX1CKC02| Dire Wolf| Creature| Animal, Canine| Nature| 3| 12| 0;
MWSTX2FFI03| Disarm| Incantation| Force| Mind| 1| X| 0;
MW1I06| Dispel| Incantation| Metamagic| Arcane| 1| X| 0;
MWSTX1CKQ05| Dispel Wand| Equipment| Metamagic| Arcane| 2| 4| 0;
MW1I07| Dissolve| Incantation| Acid| Water| 1| X| 0;
MW1E11| Divine Intervention| Enchantment| Protection| Holy| 3| 2| 10;
MWSTX1CKE02| Divine Might| Enchantment| None| Holy| 1| 2| 3;
MW1E12| Divine Protection| Enchantment| Protection, Aegis| Holy| 1| 2| 2;
MWBG1A02| Dragon's Breath| Attack| Flame| Fire| 3| 12| 0;
MW1Q06| Dragonscale Hauberk| Equipment| None| Fire| 1| 6| 0;
MW1I08| Drain Life| Incantation| Vampiric| Dark| 3| 12| 0;
MW1I09| Drain Power| Incantation| Mana| Arcane| 3| 16| 0;
MWSTX1CKI01| Drain Soul| Incantation| Vampiric| Dark| 4| 16| 0;
DNQ04| Druid's Leaf Ring| Equipment| Mana| Nature| 1| 2| 0;
FWC01| Dwarf Kriegsbiel| Creature| Dwarf, Soldier| War| 3| 11| 0;
MWSTX1CKC07| Dwarf Panzergarde| Creature| Soldier, Dwarf| War| 3| 11| 0;
MW1E13| Eagle Wings| Enchantment| None| Nature| 2| 2| 4;
MWSTX1CKQ06| Eagleclaw Boots| Equipment| None| Nature| 1| 4| 0;
